time_s,dist,error,velocity
0.150619252,3.0288875102996826,2.6788875102996825,0.15
0.250528322,3.0288875102996826,2.6788875102996825,0.15
0.350569083,3.0288875102996826,2.6788875102996825,0.15
0.450554377,3.0173821449279785,2.6673821449279784,0.15
0.550590387,3.0173821449279785,2.6673821449279784,0.15
0.650530249,3.0173821449279785,2.6673821449279784,0.15
0.7505841010000001,3.0173821449279785,2.6673821449279784,0.15
0.850518218,2.982774257659912,2.632774257659912,0.15
0.9505521410000001,2.982774257659912,2.632774257659912,0.15
1.0505589400000002,2.952111005783081,2.602111005783081,0.15
1.1505503360000002,2.952111005783081,2.602111005783081,0.15
1.2505333340000002,2.952111005783081,2.602111005783081,0.15
1.3508827150000002,2.925212860107422,2.575212860107422,0.15
1.4506095820000002,2.925212860107422,2.575212860107422,0.15
1.5506358870000003,2.925212860107422,2.575212860107422,0.15
1.6505788340000003,2.925212860107422,2.575212860107422,0.15
1.7512092130000003,2.9007904529571533,2.5507904529571532,0.15
1.8507414150000003,2.9007904529571533,2.5507904529571532,0.15
1.9521501200000004,2.861144781112671,2.511144781112671,0.15
2.0505944520000003,2.861144781112671,2.511144781112671,0.15
2.1505668630000003,2.861144781112671,2.511144781112671,0.15
2.2505397730000003,2.83701753616333,2.48701753616333,0.15
2.3505301230000004,2.83701753616333,2.48701753616333,0.15
2.4505805830000003,2.83701753616333,2.48701753616333,0.15
2.5505131260000002,2.83701753616333,2.48701753616333,0.15
2.6505446210000003,2.814918041229248,2.464918041229248,0.15
2.7511623560000005,2.814918041229248,2.464918041229248,0.15
2.8505381030000003,2.814918041229248,2.464918041229248,0.15
2.9505435950000005,2.7807209491729736,2.4307209491729735,0.15
3.0505369590000004,2.7807209491729736,2.4307209491729735,0.15
3.1505313590000004,2.7807209491729736,2.4307209491729735,0.15
3.2509467060000006,2.7449400424957275,2.3949400424957275,0.15
3.3506892740000005,2.7449400424957275,2.3949400424957275,0.15
3.4505843620000003,2.7449400424957275,2.3949400424957275,0.15
3.5505467710000005,2.7121713161468506,2.3621713161468505,0.15
3.6509082960000003,2.7121713161468506,2.3621713161468505,0.15
3.7511533540000004,2.6889443397521973,2.338944339752197,0.15
3.8521505470000004,2.6889443397521973,2.338944339752197,0.15
3.9505353070000004,2.6889443397521973,2.338944339752197,0.15
4.052206649,2.6549134254455566,2.3049134254455566,0.15
4.1505493730000005,2.6549134254455566,2.3049134254455566,0.15
4.2505705780000005,2.6549134254455566,2.3049134254455566,0.15
4.352191773,2.6229584217071533,2.2729584217071532,0.15
4.450544241,2.6229584217071533,2.2729584217071532,0.15
4.552157643,2.597184419631958,2.247184419631958,0.15
4.6505351180000005,2.597184419631958,2.247184419631958,0.15
4.751156585,2.597184419631958,2.247184419631958,0.15
4.851031326,2.5621397495269775,2.2121397495269775,0.15
4.9505505340000004,2.5621397495269775,2.2121397495269775,0.15
5.0521566920000005,2.5621397495269775,2.2121397495269775,0.15
5.1522982090000005,2.5354275703430176,2.1854275703430175,0.15
5.25063569,2.5354275703430176,2.1854275703430175,0.15
5.352184477,2.5354275703430176,2.1854275703430175,0.15
5.4531772,2.5006909370422363,2.1506909370422362,0.15
5.550569533,2.5006909370422363,2.1506909370422362,0.15
5.650650245,2.5006909370422363,2.1506909370422362,0.15
5.750562135999999,2.4777274131774902,2.12772741317749,0.15
5.852178823999999,2.4777274131774902,2.12772741317749,0.15
5.950662071999999,2.4371538162231445,2.0871538162231444,0.15
6.051174329999999,2.4371538162231445,2.0871538162231444,0.15
6.150705858999999,2.4371538162231445,2.0871538162231444,0.15
6.25217172,2.408571243286133,2.0585712432861327,0.15
6.3521614909999995,2.408571243286133,2.0585712432861327,0.15
6.450547658,2.3839521408081055,2.0339521408081054,0.15
6.5521696799999996,2.3839521408081055,2.0339521408081054,0.15
6.651212263,2.3839521408081055,2.0339521408081054,0.15
6.752179045,2.3410379886627197,1.9910379886627196,0.15
6.851168408,2.3410379886627197,1.9910379886627196,0.15
6.952165548,2.317326784133911,1.967326784133911,0.15
7.051591882,2.317326784133911,1.967326784133911,0.15
7.151718557000001,2.317326784133911,1.967326784133911,0.15
7.2542037200000005,2.2889068126678467,1.9389068126678466,0.15
7.350914049000001,2.2889068126678467,1.9389068126678466,0.15
7.451186625000001,2.2889068126678467,1.9389068126678466,0.15
7.553152358000001,2.254314422607422,1.9043144226074218,0.15
7.651576961000001,2.254314422607422,1.9043144226074218,0.15
7.752179101000001,2.254314422607422,1.9043144226074218,0.15
7.850646211000001,2.2199461460113525,1.8699461460113525,0.15
7.951256581000001,2.2199461460113525,1.8699461460113525,0.15
8.050554482,2.2199461460113525,1.8699461460113525,0.15
8.150794164,2.191995143890381,1.8419951438903808,0.15
8.250853706000001,2.191995143890381,1.8419951438903808,0.15
8.350928927000002,2.191995143890381,1.8419951438903808,0.15
8.450655301000001,2.173140287399292,1.823140287399292,0.15
8.550569139000002,2.173140287399292,1.823140287399292,0.15
8.650545291000002,2.139183759689331,1.789183759689331,0.15
8.750933117000002,2.139183759689331,1.789183759689331,0.15
8.850601729000003,2.139183759689331,1.789183759689331,0.15
8.951729704000003,2.104569911956787,1.754569911956787,0.15
9.050539299000004,2.104569911956787,1.754569911956787,0.15
9.150688157000005,2.085479259490967,1.7354792594909667,0.15
9.250548373000004,2.085479259490967,1.7354792594909667,0.15
9.350719124000005,2.085479259490967,1.7354792594909667,0.15
9.453357803000005,2.085479259490967,1.7354792594909667,0.15
9.551802345000004,2.039729356765747,1.689729356765747,0.15
9.652423041000004,2.039729356765747,1.689729356765747,0.15
