time_s,dist,error,velocity
0.108171714,3.0334243774414062,2.0334243774414062,0.15
0.20818003200000001,3.0334243774414062,2.0334243774414062,0.15
0.30815690100000004,3.0334243774414062,2.0334243774414062,0.15
0.40830782900000007,3.0334243774414062,2.0334243774414062,0.15
0.509256354,3.0186431407928467,2.0186431407928467,0.15
0.6081431660000001,3.0186431407928467,2.0186431407928467,0.15
0.710253702,3.0186431407928467,2.0186431407928467,0.15
0.8087371360000001,2.988211154937744,1.9882111549377441,0.15
0.9082445980000001,2.988211154937744,1.9882111549377441,0.15
1.008339139,2.988211154937744,1.9882111549377441,0.15
1.1086711360000001,2.988211154937744,1.9882111549377441,0.15
1.2096163070000001,2.9627485275268555,1.9627485275268555,0.15
1.3081491950000002,2.9627485275268555,1.9627485275268555,0.15
1.4095062690000002,2.9627485275268555,1.9627485275268555,0.15
1.5081553730000001,2.9302423000335693,1.9302423000335693,0.15
1.6081488080000002,2.9302423000335693,1.9302423000335693,0.15
1.7082891880000002,2.9302423000335693,1.9302423000335693,0.15
1.8086200890000002,2.896422863006592,1.8964228630065918,0.15
1.9081453290000001,2.896422863006592,1.8964228630065918,0.15
2.008159981,2.896422863006592,1.8964228630065918,0.15
2.108746944,2.8550617694854736,1.8550617694854736,0.15
2.208275237,2.8550617694854736,1.8550617694854736,0.15
2.308142454,2.8550617694854736,1.8550617694854736,0.15
2.408153632,2.8550617694854736,1.8550617694854736,0.15
2.508733133,2.8391306400299072,1.8391306400299072,0.15
2.6084383129999997,2.8391306400299072,1.8391306400299072,0.15
2.709109216,2.8391306400299072,1.8391306400299072,0.15
2.8097370639999997,2.8391306400299072,1.8391306400299072,0.15
2.9087674839999997,2.8038413524627686,1.8038413524627686,0.15
3.0081357459999998,2.8038413524627686,1.8038413524627686,0.15
3.1081527249999996,2.8038413524627686,1.8038413524627686,0.15
3.2081467659999996,2.776160717010498,1.776160717010498,0.15
3.308213026,2.776160717010498,1.776160717010498,0.15
3.4081439199999997,2.776160717010498,1.776160717010498,0.15
3.509729233,2.7375285625457764,1.7375285625457764,0.15
3.6081439129999997,2.7375285625457764,1.7375285625457764,0.15
3.7084769479999995,2.7375285625457764,1.7375285625457764,0.15
3.8088532009999994,2.7375285625457764,1.7375285625457764,0.15
3.9081488159999993,2.7129883766174316,1.7129883766174316,0.15
4.009752518999999,2.7129883766174316,1.7129883766174316,0.15
4.108769682999999,2.7129883766174316,1.7129883766174316,0.15
4.209181298999999,2.6916232109069824,1.6916232109069824,0.15
4.309160801999999,2.6916232109069824,1.6916232109069824,0.15
4.4081617159999995,2.6916232109069824,1.6916232109069824,0.15
4.508180157999999,2.6583619117736816,1.6583619117736816,0.15
4.609630115999999,2.6583619117736816,1.6583619117736816,0.15
4.708137718999999,2.6583619117736816,1.6583619117736816,0.15
4.808151110999999,2.6583619117736816,1.6583619117736816,0.15
4.908753291999999,2.616851568222046,1.616851568222046,0.15
5.008236201999999,2.616851568222046,1.616851568222046,0.15
5.108190926999999,2.616851568222046,1.616851568222046,0.15
5.208236785999999,2.5949363708496094,1.5949363708496094,0.15
5.311903687999998,2.5949363708496094,1.5949363708496094,0.15
5.408150327999999,2.5606274604797363,1.5606274604797363,0.15
5.508192489999999,2.5606274604797363,1.5606274604797363,0.15
5.608143342999999,2.5606274604797363,1.5606274604797363,0.15
5.707962932999999,2.52321195602417,1.52321195602417,0.15
5.808807711999999,2.52321195602417,1.52321195602417,0.15
5.908139466999999,2.52321195602417,1.52321195602417,0.15
6.008696940999999,2.493602752685547,1.4936027526855469,0.15
6.108483125999999,2.493602752685547,1.4936027526855469,0.15
6.2081594639999995,2.493602752685547,1.4936027526855469,0.15
6.309758271,2.460775852203369,1.4607758522033691,0.15
6.408143807,2.460775852203369,1.4607758522033691,0.15
6.508140969,2.460775852203369,1.4607758522033691,0.15
6.608788870000001,2.433837413787842,1.4338374137878418,0.15
6.708798049,2.433837413787842,1.4338374137878418,0.15
6.808154819,2.433837413787842,1.4338374137878418,0.15
6.908738823,2.4131243228912354,1.4131243228912354,0.15
7.00814806,2.4131243228912354,1.4131243228912354,0.15
7.108134776,2.4131243228912354,1.4131243228912354,0.15
7.209656187,2.375131845474243,1.3751318454742432,0.15
7.3081349840000005,2.375131845474243,1.3751318454742432,0.15
7.408772025,2.375131845474243,1.3751318454742432,0.15
7.508148459,2.375131845474243,1.3751318454742432,0.15
7.608144899,2.3560049533843994,1.3560049533843994,0.15
7.708738563,2.3560049533843994,1.3560049533843994,0.15
7.809762998,2.3560049533843994,1.3560049533843994,0.15
7.908732749,2.320368528366089,1.3203685283660889,0.15
8.008139803,2.320368528366089,1.3203685283660889,0.15
8.108177559000001,2.320368528366089,1.3203685283660889,0.15
8.208140684000002,2.288567066192627,1.288567066192627,0.15
8.308785331000001,2.288567066192627,1.288567066192627,0.15
8.408229461000001,2.288567066192627,1.288567066192627,0.15
8.509350963000001,2.288567066192627,1.288567066192627,0.15
8.608174940000001,2.2554006576538086,1.2554006576538086,0.15
8.708738849000001,2.2554006576538086,1.2554006576538086,0.15
8.80814486,2.218123435974121,1.218123435974121,0.15
8.908136787,2.218123435974121,1.218123435974121,0.15
9.008747252000001,2.218123435974121,1.218123435974121,0.15
9.108209974000001,2.218123435974121,1.218123435974121,0.15
9.208135442000001,2.1987435817718506,1.1987435817718506,0.15
9.309271272000002,2.1987435817718506,1.1987435817718506,0.15
9.409525596000002,2.1987435817718506,1.1987435817718506,0.15
9.508726710000001,2.1691901683807373,1.1691901683807373,0.15
